,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
25,Penn State,12,36.6,15.5,27.6,56.2,251.0,1.8,39.5,182.3,4.6,2.5,67.1,433.3,6.5,8.8,9.3,2.0,20.1,4.9,43.9,0.8,0.4,1.3
26,Tennessee,12,36.3,17.9,28.4,63.0,234.1,2.3,39.9,203.2,5.1,2.3,68.3,437.3,6.4,10.3,9.5,1.4,21.3,6.2,55.8,1.1,1.0,2.1
27,Baylor,11,36.2,20.5,37.2,55.0,275.7,2.5,49.5,255.2,5.2,2.1,86.6,530.9,6.1,10.3,14.1,1.2,25.5,9.6,76.6,0.9,1.1,2.0
28,Old Dominion,12,36.0,17.4,29.5,59.0,237.8,2.3,38.4,196.1,5.1,2.3,67.9,433.9,6.4,10.4,8.3,2.3,21.1,5.1,42.3,0.3,0.4,0.8
29,San Diego State,12,36.0,11.6,19.1,60.7,150.8,1.6,45.5,275.9,6.1,2.4,64.6,426.8,6.6,7.0,12.3,1.4,20.8,7.3,63.0,0.6,0.4,1.0
30,Boise State,12,35.6,18.4,29.6,62.3,297.8,2.3,37.9,182.1,4.8,2.4,67.5,479.8,7.1,12.6,8.9,1.4,22.9,4.4,39.7,0.8,0.5,1.3
31,Oregon,12,35.4,21.4,33.3,64.4,265.3,2.3,41.1,226.4,5.5,2.4,74.3,491.7,6.6,11.2,10.2,2.0,23.3,8.3,75.8,0.8,0.5,1.3
32,Texas A&M,12,35.4,18.8,35.1,53.4,250.6,1.8,38.0,217.5,5.7,2.3,73.1,468.1,6.4,10.5,9.7,1.2,21.3,6.1,50.8,0.9,0.7,1.6
33,Florida State,12,35.3,19.6,32.8,59.6,267.6,1.8,40.3,206.8,5.1,2.6,73.1,474.3,6.5,11.5,11.8,2.2,25.5,7.8,73.6,0.9,0.6,1.5
34,Troy,11,35.1,24.1,37.9,63.5,267.2,2.1,38.4,180.5,4.7,2.1,76.3,447.7,5.9,11.5,10.0,2.4,23.9,7.2,62.5,0.7,0.9,1.6
35,Virginia Tech,12,35.0,19.7,31.6,62.3,261.6,2.3,46.6,191.8,4.1,1.7,78.2,453.4,5.8,12.2,10.0,1.7,23.8,4.9,43.5,1.4,0.4,1.8
36,Colorado,12,34.8,21.6,33.8,63.8,268.8,1.8,48.1,201.1,4.2,2.3,81.9,469.9,5.7,11.3,11.6,2.3,25.1,5.7,49.3,0.8,0.6,1.3
37,Miami (FL),12,34.6,19.9,32.7,61.0,273.5,1.9,33.4,157.7,4.7,2.0,66.1,431.2,6.5,11.2,7.6,1.3,20.1,7.3,65.6,0.3,0.6,0.8
38,Air Force,12,34.3,5.1,11.7,43.6,128.8,1.1,63.8,322.8,5.1,2.9,75.4,451.5,6.0,4.2,18.0,1.0,23.2,5.2,53.4,0.8,0.7,1.4
39,Colorado State,12,34.1,16.3,27.0,60.5,227.8,2.0,42.5,223.3,5.3,2.3,69.5,451.0,6.5,9.7,11.4,1.2,22.3,5.7,50.6,0.6,0.4,1.0
40,Texas Christian,11,34.0,23.6,39.9,59.2,291.1,1.5,37.5,201.6,5.4,2.6,77.4,492.7,6.4,12.5,9.9,1.5,24.0,7.5,67.5,0.4,1.2,1.5
41,West Virginia,11,33.4,20.2,32.5,62.2,281.6,2.2,43.0,233.0,5.4,1.9,75.5,514.6,6.8,12.8,10.7,1.7,25.3,6.2,59.4,0.8,1.0,1.8
42,Arizona State,12,33.3,21.4,35.4,60.5,259.3,1.3,39.5,131.8,3.3,2.3,74.9,391.1,5.2,11.2,7.3,1.8,20.3,5.5,52.0,0.6,1.2,1.8
43,Southern Mississippi,12,33.3,21.7,36.3,59.6,294.3,2.0,42.6,180.7,4.2,2.0,78.9,474.9,6.0,12.1,9.4,2.3,23.8,7.0,59.0,1.3,1.3,2.5
44,North Carolina,12,33.1,24.2,35.0,69.0,294.3,2.3,30.3,148.2,4.9,1.7,65.3,442.4,6.8,12.8,7.3,1.3,21.4,7.7,62.3,0.8,0.3,1.1
45,Southern California,12,32.9,22.6,34.1,66.3,261.7,2.3,39.3,206.5,5.3,1.4,73.4,468.2,6.4,11.8,10.8,1.6,24.1,7.4,65.7,0.8,0.8,1.6
46,Temple,12,32.8,15.7,27.4,57.1,227.4,1.5,41.8,191.7,4.6,2.4,69.3,419.1,6.1,9.5,10.3,1.8,21.6,5.6,44.9,0.4,1.0,1.4
47,Mississippi,12,32.6,24.1,40.3,59.8,314.9,2.3,35.2,149.8,4.3,1.4,75.4,464.8,6.2,14.8,8.3,1.8,24.8,4.9,43.3,0.4,1.2,1.6
48,Kansas State,11,32.4,14.0,24.4,57.5,153.4,0.7,43.5,224.1,5.2,3.0,67.8,377.5,5.6,7.5,12.2,2.1,21.8,6.5,54.1,0.5,0.5,1.0
49,Auburn,12,32.3,13.8,21.7,63.5,170.8,0.9,49.9,278.5,5.6,2.7,71.6,449.3,6.3,7.5,13.2,1.3,21.9,4.6,34.3,0.7,0.4,1.1
50,Texas,12,31.9,20.1,33.5,60.0,252.0,1.8,49.6,240.2,4.8,2.3,83.1,492.2,5.9,10.2,13.1,1.8,25.2,7.1,64.1,0.9,1.0,1.9
51,Nevada-Las Vegas,12,31.6,11.5,24.5,46.9,162.9,1.3,43.4,241.5,5.6,2.3,67.9,404.4,6.0,7.1,11.7,0.9,19.7,5.6,51.2,0.3,0.8,1.1
52,Mississippi State,12,31.5,18.0,31.9,56.4,215.3,2.0,41.7,233.7,5.6,1.8,73.6,449.0,6.1,9.8,11.1,1.6,22.4,5.5,49.3,0.5,0.8,1.3
53,Missouri,12,31.4,20.8,37.3,55.6,295.4,2.1,41.7,205.1,4.9,2.0,79.0,500.5,6.3,10.8,12.0,1.5,24.3,6.7,58.0,1.1,0.8,1.9
54,Kentucky,12,31.0,12.6,23.2,54.3,187.0,1.3,43.7,244.1,5.6,2.4,66.8,431.1,6.5,7.2,11.3,1.5,20.0,5.0,45.3,1.3,1.0,2.3
55,Notre Dame,12,30.9,18.7,32.3,57.7,254.3,2.3,36.5,163.3,4.5,1.5,68.8,417.6,6.1,11.0,8.9,1.3,21.2,6.5,53.2,0.8,0.8,1.5
56,Arkansas,12,30.8,19.1,31.3,61.1,263.0,2.0,40.2,175.1,4.4,1.7,71.4,438.1,6.1,11.6,9.6,1.7,22.8,5.7,50.4,0.8,1.0,1.8
57,Northern Illinois,12,30.5,19.4,33.4,58.1,224.7,1.7,45.8,239.8,5.2,2.3,79.2,464.4,5.9,10.1,11.6,2.1,23.5,7.0,70.0,0.3,1.1,1.4
58,Eastern Michigan,12,30.4,23.6,39.3,60.0,295.8,1.9,36.8,158.2,4.3,1.8,76.2,453.9,6.0,12.6,8.9,1.4,22.9,6.1,60.5,0.5,1.3,1.8
59,Minnesota,12,30.3,14.2,25.7,55.2,177.3,0.7,43.1,186.4,4.3,2.8,68.8,363.8,5.3,8.3,9.8,1.3,19.4,6.5,56.5,0.3,1.0,1.3
60,Utah,12,30.2,16.7,31.3,53.3,216.9,1.3,43.2,210.5,4.9,1.9,74.4,427.4,5.7,9.2,11.0,1.8,22.0,6.8,58.3,1.2,0.6,1.8
61,Central Florida,12,30.1,18.2,33.3,54.5,209.6,1.1,41.4,151.9,3.7,2.1,74.8,361.5,4.8,8.7,8.8,1.8,19.3,6.7,53.9,1.1,0.8,1.8
62,Army,11,30.0,4.5,10.5,43.5,79.9,0.6,58.6,328.7,5.6,3.4,69.1,408.6,5.9,3.2,17.3,1.3,21.7,5.3,46.2,0.9,0.9,1.8
63,Brigham Young,12,30.0,19.8,33.1,59.7,206.4,1.2,42.3,199.7,4.7,2.2,75.4,406.1,5.4,10.4,11.2,2.3,23.8,6.5,59.9,0.4,1.0,1.4
64,Texas-San Antonio,12,29.9,17.2,29.8,57.7,221.6,2.0,40.5,154.8,3.8,1.8,70.3,376.4,5.4,9.8,8.5,1.3,19.6,7.0,59.8,0.6,0.6,1.2
65,Appalachian State,12,29.1,15.8,25.1,62.8,184.0,1.3,43.9,247.1,5.6,2.3,69.0,431.1,6.2,8.8,11.8,1.6,22.2,6.4,61.1,0.4,0.7,1.1
66,Wisconsin,12,28.5,14.4,24.0,60.1,179.6,1.1,47.6,201.5,4.2,2.2,71.6,381.1,5.3,9.3,10.2,0.8,20.3,3.3,31.7,0.5,0.8,1.3
67,Louisiana State,11,28.3,14.4,24.5,58.7,187.6,0.9,37.9,238.2,6.3,2.6,62.4,425.8,6.8,8.1,10.5,1.0,19.5,4.9,40.4,0.9,0.5,1.5
